----------------page: 1-------------------
title:国科大博士生导师陈伟强团队在全球钢铁物质循环与工业脱碳关联研究方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503603&catid=376&Itemid=196 date:2021-04-26
title:国科大博士生导师吴青峰研究组在下丘脑神经元多样性的起源方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503573&catid=376&Itemid=196 date:2021-04-25
title:国科大博士生导师徐君、邓凤研究团队在沸石分子筛催化甲烷制芳烃反应活性中心的研究中取得重要进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503458&catid=376&Itemid=196 date:2021-04-22
title:国科大博士生导师卢正团队在机场跑道振动特性研究中取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503402&catid=376&Itemid=196 date:2021-04-20
title:国科大博士生导师吴青峰研究组发现下丘脑Rax阳性的伸展细胞可以促进组织修复和肿瘤发生 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503390&catid=376&Itemid=196 date:2021-04-20
title:国科大博士生导师吴金水团队在水稻土和旱地土壤碳氮积累、稳定及其环境驱动的差异机制研究上取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503332&catid=376&Itemid=196 date:2021-04-19
title:国科大博士生导师郑安民团队在分子筛限域传质机制研究领域取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503327&catid=376&Itemid=196 date:2021-04-19
title:国科大博士生导师刘云圻课题组在金属有机框架材料薄膜的可控生长方面取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503148&catid=376&Itemid=196 date:2021-04-13
title:国科大博士生导师朱晓张课题组在高稳定性n-型光伏材料研究方面取得重要创新成果 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503144&catid=376&Itemid=196 date:2021-04-13
title:国科大博士生导师葛茂发课题组在我国灰霾二次气溶胶快速生成化学机制研究方面取得系列进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503143&catid=376&Itemid=196 date:2021-04-13
----------------page: 6-------------------
title:国科大研究生导师李春明团队在公众环保投诉大数据挖掘方面取得研究进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=505974&catid=376&Itemid=196 date:2021-07-29
title:国科大博士生导师马小飞团队沙米道地性研究获进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=505956&catid=376&Itemid=196 date:2021-07-27
title:中国科学院大学王艳芬团队在草地生态系统响应极端气候方面的研究进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=505950&catid=376&Itemid=196 date:2021-07-27
title:国科大博士生导师杜茁研究组在胚胎发育图式建立的时空调控规律研究中取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=505949&catid=376&Itemid=196 date:2021-07-27
title:PNAS：高原鼠兔通过代谢抑制和取食牦牛粪便在世界屋脊上越冬 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=505948&catid=376&Itemid=196 date:2021-07-27
